"","X","doe","infer","idx","level","common","excess","miss","sim","succ","proj"
"12961",12960,"2hot_0","once_success",1,"wline",7,0,2,0.777777777777778,"True","mbe"
"12962",12961,"2hot_0","once_success",1,"tline",7,0,2,0.777777777777778,"True","mbe"
"12963",12962,"2hot_0","once_success",1,"tstmt",4,0,1,0.8,"True","mbe"
"12964",12963,"2hot_0","once_success",2,"wline",7,1,2,0.7,"True","mbe"
"12965",12964,"2hot_0","once_success",2,"tline",8,0,1,0.888888888888889,"True","mbe"
"12966",12965,"2hot_0","once_success",2,"tstmt",4,0,1,0.8,"True","mbe"
"12967",12966,"2hot_0","once_success",3,"wline",34,2,8,0.772727272727273,"True","mbe"
"12968",12967,"2hot_0","once_success",3,"tline",35,3,7,0.777777777777778,"True","mbe"
"12969",12968,"2hot_0","once_success",3,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"12970",12969,"2hot_0","once_success",4,"wline",34,2,8,0.772727272727273,"True","mbe"
"12971",12970,"2hot_0","once_success",4,"tline",35,3,7,0.777777777777778,"True","mbe"
"12972",12971,"2hot_0","once_success",4,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"12973",12972,"2hot_0","once_success",5,"wline",34,2,8,0.772727272727273,"True","mbe"
"12974",12973,"2hot_0","once_success",5,"tline",35,3,7,0.777777777777778,"True","mbe"
"12975",12974,"2hot_0","once_success",5,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"12976",12975,"2hot_0","once_success",6,"wline",34,2,8,0.772727272727273,"True","mbe"
"12977",12976,"2hot_0","once_success",6,"tline",35,3,7,0.777777777777778,"True","mbe"
"12978",12977,"2hot_0","once_success",6,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"12979",12978,"2hot_0","once_success",7,"wline",34,2,8,0.772727272727273,"True","mbe"
"12980",12979,"2hot_0","once_success",7,"tline",35,3,7,0.777777777777778,"True","mbe"
"12981",12980,"2hot_0","once_success",7,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"12982",12981,"2hot_0","once_success",8,"wline",34,2,8,0.772727272727273,"True","mbe"
"12983",12982,"2hot_0","once_success",8,"tline",35,3,7,0.777777777777778,"True","mbe"
"12984",12983,"2hot_0","once_success",8,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"12985",12984,"2hot_0","once_success",9,"wline",17,3,17,0.459459459459459,"True","mbe"
"12986",12985,"2hot_0","once_success",9,"tline",24,5,10,0.615384615384615,"True","mbe"
"12987",12986,"2hot_0","once_success",9,"tstmt",18,2,5,0.72,"True","mbe"
"12988",12987,"2hot_0","once_success",10,"wline",17,3,17,0.459459459459459,"True","mbe"
"12989",12988,"2hot_0","once_success",10,"tline",24,4,10,0.631578947368421,"True","mbe"
"12990",12989,"2hot_0","once_success",10,"tstmt",18,2,5,0.72,"True","mbe"
"12991",12990,"2hot_0","once_success",11,"wline",17,3,17,0.459459459459459,"True","mbe"
"12992",12991,"2hot_0","once_success",11,"tline",24,4,10,0.631578947368421,"True","mbe"
"12993",12992,"2hot_0","once_success",11,"tstmt",18,2,5,0.72,"True","mbe"
"12994",12993,"2hot_0","once_success",12,"wline",34,4,8,0.739130434782609,"True","mbe"
"12995",12994,"2hot_0","once_success",12,"tline",40,0,2,0.952380952380952,"True","mbe"
"12996",12995,"2hot_0","once_success",12,"tstmt",33,0,1,0.970588235294118,"True","mbe"
"12997",12996,"2hot_0","once_success",13,"wline",36,2,6,0.818181818181818,"True","mbe"
"12998",12997,"2hot_0","once_success",13,"tline",37,3,5,0.822222222222222,"True","mbe"
"12999",12998,"2hot_0","once_success",13,"tstmt",32,2,2,0.888888888888889,"True","mbe"
"13000",12999,"2hot_0","once_success",14,"wline",34,2,8,0.772727272727273,"True","mbe"
"13001",13000,"2hot_0","once_success",14,"tline",35,3,7,0.777777777777778,"True","mbe"
"13002",13001,"2hot_0","once_success",14,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13003",13002,"2hot_0","once_success",15,"wline",34,2,8,0.772727272727273,"True","mbe"
"13004",13003,"2hot_0","once_success",15,"tline",35,3,7,0.777777777777778,"True","mbe"
"13005",13004,"2hot_0","once_success",15,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13006",13005,"2hot_0","once_success",16,"wline",17,3,17,0.459459459459459,"True","mbe"
"13007",13006,"2hot_0","once_success",16,"tline",24,4,10,0.631578947368421,"True","mbe"
"13008",13007,"2hot_0","once_success",16,"tstmt",18,2,5,0.72,"True","mbe"
"13009",13008,"2hot_0","logistic",1,"wline",7,0,24,0.225806451612903,"True","mbe"
"13010",13009,"2hot_0","logistic",1,"tline",7,0,24,0.225806451612903,"True","mbe"
"13011",13010,"2hot_0","logistic",1,"tstmt",4,0,17,0.19047619047619,"True","mbe"
"13012",13011,"2hot_0","logistic",2,"wline",7,1,24,0.21875,"True","mbe"
"13013",13012,"2hot_0","logistic",2,"tline",8,0,23,0.258064516129032,"True","mbe"
"13014",13013,"2hot_0","logistic",2,"tstmt",4,0,17,0.19047619047619,"True","mbe"
"13015",13014,"2hot_0","logistic",3,"wline",34,2,8,0.772727272727273,"True","mbe"
"13016",13015,"2hot_0","logistic",3,"tline",35,3,7,0.777777777777778,"True","mbe"
"13017",13016,"2hot_0","logistic",3,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13018",13017,"2hot_0","logistic",4,"wline",34,2,8,0.772727272727273,"True","mbe"
"13019",13018,"2hot_0","logistic",4,"tline",35,3,7,0.777777777777778,"True","mbe"
"13020",13019,"2hot_0","logistic",4,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13021",13020,"2hot_0","logistic",5,"wline",34,2,8,0.772727272727273,"True","mbe"
"13022",13021,"2hot_0","logistic",5,"tline",35,3,7,0.777777777777778,"True","mbe"
"13023",13022,"2hot_0","logistic",5,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13024",13023,"2hot_0","logistic",6,"wline",34,2,8,0.772727272727273,"True","mbe"
"13025",13024,"2hot_0","logistic",6,"tline",35,3,7,0.777777777777778,"True","mbe"
"13026",13025,"2hot_0","logistic",6,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13027",13026,"2hot_0","logistic",7,"wline",34,2,8,0.772727272727273,"True","mbe"
"13028",13027,"2hot_0","logistic",7,"tline",35,3,7,0.777777777777778,"True","mbe"
"13029",13028,"2hot_0","logistic",7,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13030",13029,"2hot_0","logistic",8,"wline",34,2,8,0.772727272727273,"True","mbe"
"13031",13030,"2hot_0","logistic",8,"tline",35,3,7,0.777777777777778,"True","mbe"
"13032",13031,"2hot_0","logistic",8,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13033",13032,"2hot_0","logistic",9,"wline",17,3,23,0.395348837209302,"True","mbe"
"13034",13033,"2hot_0","logistic",9,"tline",21,8,19,0.4375,"True","mbe"
"13035",13034,"2hot_0","logistic",9,"tstmt",18,2,10,0.6,"True","mbe"
"13036",13035,"2hot_0","logistic",10,"wline",17,3,23,0.395348837209302,"True","mbe"
"13037",13036,"2hot_0","logistic",10,"tline",21,7,19,0.446808510638298,"True","mbe"
"13038",13037,"2hot_0","logistic",10,"tstmt",18,2,10,0.6,"True","mbe"
"13039",13038,"2hot_0","logistic",11,"wline",17,3,23,0.395348837209302,"True","mbe"
"13040",13039,"2hot_0","logistic",11,"tline",21,7,19,0.446808510638298,"True","mbe"
"13041",13040,"2hot_0","logistic",11,"tstmt",18,2,10,0.6,"True","mbe"
"13042",13041,"2hot_0","logistic",12,"wline",34,4,8,0.739130434782609,"True","mbe"
"13043",13042,"2hot_0","logistic",12,"tline",40,0,2,0.952380952380952,"True","mbe"
"13044",13043,"2hot_0","logistic",12,"tstmt",33,0,1,0.970588235294118,"True","mbe"
"13045",13044,"2hot_0","logistic",13,"wline",36,2,6,0.818181818181818,"True","mbe"
"13046",13045,"2hot_0","logistic",13,"tline",37,3,5,0.822222222222222,"True","mbe"
"13047",13046,"2hot_0","logistic",13,"tstmt",32,2,2,0.888888888888889,"True","mbe"
"13048",13047,"2hot_0","logistic",14,"wline",34,2,8,0.772727272727273,"True","mbe"
"13049",13048,"2hot_0","logistic",14,"tline",35,3,7,0.777777777777778,"True","mbe"
"13050",13049,"2hot_0","logistic",14,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13051",13050,"2hot_0","logistic",15,"wline",34,2,8,0.772727272727273,"True","mbe"
"13052",13051,"2hot_0","logistic",15,"tline",35,3,7,0.777777777777778,"True","mbe"
"13053",13052,"2hot_0","logistic",15,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13054",13053,"2hot_0","logistic",16,"wline",17,3,23,0.395348837209302,"True","mbe"
"13055",13054,"2hot_0","logistic",16,"tline",21,7,19,0.446808510638298,"True","mbe"
"13056",13055,"2hot_0","logistic",16,"tstmt",18,2,10,0.6,"True","mbe"
"13057",13056,"2hot_0","simple_bayes",1,"wline",7,0,18,0.28,"True","mbe"
"13058",13057,"2hot_0","simple_bayes",1,"tline",7,0,18,0.28,"True","mbe"
"13059",13058,"2hot_0","simple_bayes",1,"tstmt",4,0,17,0.19047619047619,"True","mbe"
"13060",13059,"2hot_0","simple_bayes",2,"wline",7,1,18,0.269230769230769,"True","mbe"
"13061",13060,"2hot_0","simple_bayes",2,"tline",8,0,17,0.32,"True","mbe"
"13062",13061,"2hot_0","simple_bayes",2,"tstmt",4,0,17,0.19047619047619,"True","mbe"
"13063",13062,"2hot_0","simple_bayes",3,"wline",34,2,8,0.772727272727273,"True","mbe"
"13064",13063,"2hot_0","simple_bayes",3,"tline",35,3,7,0.777777777777778,"True","mbe"
"13065",13064,"2hot_0","simple_bayes",3,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13066",13065,"2hot_0","simple_bayes",4,"wline",34,2,8,0.772727272727273,"True","mbe"
"13067",13066,"2hot_0","simple_bayes",4,"tline",35,3,7,0.777777777777778,"True","mbe"
"13068",13067,"2hot_0","simple_bayes",4,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13069",13068,"2hot_0","simple_bayes",5,"wline",34,2,8,0.772727272727273,"True","mbe"
"13070",13069,"2hot_0","simple_bayes",5,"tline",35,3,7,0.777777777777778,"True","mbe"
"13071",13070,"2hot_0","simple_bayes",5,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13072",13071,"2hot_0","simple_bayes",6,"wline",34,2,8,0.772727272727273,"True","mbe"
"13073",13072,"2hot_0","simple_bayes",6,"tline",35,3,7,0.777777777777778,"True","mbe"
"13074",13073,"2hot_0","simple_bayes",6,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13075",13074,"2hot_0","simple_bayes",7,"wline",34,2,8,0.772727272727273,"True","mbe"
"13076",13075,"2hot_0","simple_bayes",7,"tline",35,3,7,0.777777777777778,"True","mbe"
"13077",13076,"2hot_0","simple_bayes",7,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13078",13077,"2hot_0","simple_bayes",8,"wline",34,2,8,0.772727272727273,"True","mbe"
"13079",13078,"2hot_0","simple_bayes",8,"tline",35,3,7,0.777777777777778,"True","mbe"
"13080",13079,"2hot_0","simple_bayes",8,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13081",13080,"2hot_0","simple_bayes",9,"wline",16,4,19,0.41025641025641,"True","mbe"
"13082",13081,"2hot_0","simple_bayes",9,"tline",20,9,15,0.454545454545454,"True","mbe"
"13083",13082,"2hot_0","simple_bayes",9,"tstmt",18,2,10,0.6,"True","mbe"
"13084",13083,"2hot_0","simple_bayes",10,"wline",16,4,19,0.41025641025641,"True","mbe"
"13085",13084,"2hot_0","simple_bayes",10,"tline",20,8,15,0.465116279069767,"True","mbe"
"13086",13085,"2hot_0","simple_bayes",10,"tstmt",18,2,10,0.6,"True","mbe"
"13087",13086,"2hot_0","simple_bayes",11,"wline",16,4,19,0.41025641025641,"True","mbe"
"13088",13087,"2hot_0","simple_bayes",11,"tline",20,8,15,0.465116279069767,"True","mbe"
"13089",13088,"2hot_0","simple_bayes",11,"tstmt",18,2,10,0.6,"True","mbe"
"13090",13089,"2hot_0","simple_bayes",12,"wline",34,4,8,0.739130434782609,"True","mbe"
"13091",13090,"2hot_0","simple_bayes",12,"tline",40,0,2,0.952380952380952,"True","mbe"
"13092",13091,"2hot_0","simple_bayes",12,"tstmt",33,0,1,0.970588235294118,"True","mbe"
"13093",13092,"2hot_0","simple_bayes",13,"wline",36,2,6,0.818181818181818,"True","mbe"
"13094",13093,"2hot_0","simple_bayes",13,"tline",37,3,5,0.822222222222222,"True","mbe"
"13095",13094,"2hot_0","simple_bayes",13,"tstmt",32,2,2,0.888888888888889,"True","mbe"
"13096",13095,"2hot_0","simple_bayes",14,"wline",34,2,8,0.772727272727273,"True","mbe"
"13097",13096,"2hot_0","simple_bayes",14,"tline",35,3,7,0.777777777777778,"True","mbe"
"13098",13097,"2hot_0","simple_bayes",14,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13099",13098,"2hot_0","simple_bayes",15,"wline",34,2,8,0.772727272727273,"True","mbe"
"13100",13099,"2hot_0","simple_bayes",15,"tline",35,3,7,0.777777777777778,"True","mbe"
"13101",13100,"2hot_0","simple_bayes",15,"tstmt",31,2,3,0.861111111111111,"True","mbe"
